City Name,Population
Karachi,11624219
Lahore,6310888
Faisalabad,2506595
Rawalpindi,1743101
Multan,1437230
Hyderabad,1386330
Gujranwala,1384471
Peshawar,1218773
Rahim Yar Khan,788915
Quetta,733675
Muzaffarabad,725000
Battagram,700000
Kotli,640000
Islamabad,601600
Bahawalpur,552607
Sargodha,542603
Sialkot,477396
Sukkur,417767
Larkana,364033
Shekhupura,361303
Bhimbar,342900
Jhang Sadr,341210
Gujrat,301506
Mardan,300424
Malir Cantonment,300000
Kasur,290643
Mingora,279914
Dera Ghazi Khan,236093
Sahiwal,235695
Nawabshah,229504
Okara,223648
Mirpur Khas,215657
Chiniot,201781
Shahkot,200000
Kamoke,199531
Saddiqabad,189876
Burewala,183915
Jacobabad,170588
Muzaffargarh,165192
Muridke,164246
Jhelum,164080
Shikarpur,156901
Hafizabad,153656
Kohat,151427
Khanpur,142426
Khuzdar,141227
Dadu,139784
Gojra,139726
Mandi Bahauddin,129733
Tando Allahyar,127202
Daska Kalan,126924
Pakpattan,126706
Bahawalnagar,126700
Bahawalnagar,126617
Tando Adam,125598
Khairpur Mir's,124602
Chishtian,122199
Abbottabad,120000
Jaranwala,119785
Ahmadpur East,116579
Vihari,112840
Kamalia,112426
Kot Addu,104217
Khushab,102793
Wazirabad,102444
Dera Ismail Khan,101616
Chakwal,101200
Swabi,97363
Lodhran,97249
Nowshera Cantonment,96766
